Title,Description,Company,Salary_From,Salary_To,Currency,Offer_URL,Technologies,Added_At
,,,,,,/privacy_policy,,
Senior Magento Developer,,Sii Polska,,,,https://bulldogjob.pl/companies/jobs/169834-senior-magento-developer-warsaw-gdansk-wroclaw-poznan-krakow-lodz-lublin-katowice-rzeszow-czestochowa-pila-bydgoszcz-bialystok-gliwice-szczecin-torun-sii-polska,"Docker,GraphQL,MySQL",
Senior .NET Developer Backend,,Reply Polska,16 000,30 000,PLN,https://bulldogjob.pl/companies/jobs/170451-senior-net-developer-backend-katowice-reply-polska,".NET,Azure,microservices",
Java Developer – banking industry,,Sii Polska,,,,https://bulldogjob.pl/companies/jobs/170044-java-developer-banking-industry-warsaw-sii-polska,"AWS,Git,Hibernate",
Fullstack Java Developer,,Sii Polska,,,,https://bulldogjob.pl/companies/jobs/170042-fullstack-java-developer-warsaw-gdansk-wroclaw-poznan-krakow-lodz-lublin-katowice-rzeszow-czestochowa-pila-bydgoszcz-bialystok-gliwice-szczecin-torun-sii-polska,"Kotlin,React.js/ Bue/ks,Cloud Computing",
Java Team Leader,,Power Media,Znamy,,widełki,https://bulldogjob.pl/companies/jobs/170336-java-team-leader-warszawa-lodz-power-media,"Git,Java,JavaScript",
Senior .Net Developer (with Azure),,1dea,23 200,26 400,PLN,https://bulldogjob.pl/companies/jobs/170435-senior-net-developer-with-azure-1dea,".NET,Azure,Entity Framework",
Golang Software Engineer,,Reply Polska,13 000,22 000,PLN,https://bulldogjob.pl/companies/jobs/170439-golang-software-engineer-katowice-reply-polska,,
Architect Java Developer,,LeverX,,,,https://bulldogjob.pl/companies/jobs/170426-architect-java-developer-wroclaw-warsaw-leverx,"Apache,Kafka,SQL",
Senior WPF Developer,,LeverX,,,,https://bulldogjob.pl/companies/jobs/170421-senior-wpf-developer-wroclaw-warsaw-leverx,".NET,WPF,Web API",
Senior Web UI Developer,,@Wipro IT Services Poland,21 000,31 500,PLN,https://czyjesteldorado.pl/praca/86369-senior-web-ui-developer-wipro-it-services-poland,"JavaScript,TypeScript,React",
